Wavenumber, 11301_2-16.SPA, 11302_2-16.SPA, 11303_2-16.SPA, 113121_2-22.SPA, 113122_2-22.SPA, 113123_2-22.SPA, 113151_2-22.SPA, 113152_2-22.SPA, 113153_2-22.SPA, 113181_2-22.SPA, 113182_2-22.SPA, 113183_2-22.SPA, 113241_2-22.SPA, 113242_2-22.SPA, 113243_2-22.SPA, 113301_2-22.SPA, 113302_2-22.SPA, 113303_2-22.SPA, 11331_2-16.SPA, 11332_2-16.SPA, 11333_2-16.SPA, 113361_2-22.SPA, 113362_2-22.SPA, 113363_2-22.SPA, 11361_2-16.SPA, 11362_2-16.SPA, 11363_2-16.SPA, 11391_2-22.SPA, 11392_2-22.SPA, 11393_2-22.SPA
1757.03, 97.7949, 97.7202, 97.2707, 98.2707, 98.7568, 98.4154, 98.5472, 98.6225, 98.6127, 98.5863, 98.2589, 98.4356, 98.5518, 98.6747, 98.8064, 98.8803, 98.5757, 98.5451, 97.8537, 97.5355, 97.9511, 98.3739, 98.4421, 98.7528, 99.5664, 98.0111, 98.1585, 98.502, 100.394, 97.8643
1756.97, 97.8019, 97.702, 97.2623, 98.2618, 98.7526, 98.4092, 98.5426, 98.6175, 98.6058, 98.5756, 98.2648, 98.4317, 98.5493, 98.6758, 98.8081, 98.8573, 98.5655, 98.5343, 97.882, 97.5675, 97.9673, 98.3894, 98.4695, 98.7509, 99.567, 98.0061, 98.1699, 98.5072, 100.381, 97.8593
1756.91, 97.8031, 97.6854, 97.2594, 98.2495, 98.7373, 98.4088, 98.5449, 98.6138, 98.5964, 98.5744, 98.2658, 98.4312, 98.545, 98.6768, 98.8021, 98.8223, 98.5599, 98.5316, 97.9038, 97.5981, 97.9884, 98.4043, 98.4914, 98.7483, 99.5639, 98.0033, 98.1807, 98.5156, 100.358, 97.8558
1756.85, 97.7998, 97.6716, 97.2615, 98.2339, 98.7138, 98.4146, 98.5527, 98.611, 98.5865, 98.582, 98.2639, 98.4344, 98.539, 98.6784, 98.7885, 98.7793, 98.5588, 98.5363, 97.9164, 97.6255, 98.0152, 98.4138, 98.5049, 98.7461, 99.5558, 98.0036, 98.1897, 98.5235, 100.328, 97.8542
1756.79, 97.7939, 97.6614, 97.2674, 98.215, 98.686, 98.4262, 98.5633, 98.6085, 98.5787, 98.5966, 98.2612, 98.4413, 98.532, 98.681, 98.7688, 98.7323, 98.5611, 98.5468, 97.9191, 97.6496, 98.0462, 98.4152, 98.5079, 98.7455, 99.5427, 98.0086, 98.1957, 98.5275, 100.296, 97.8547
1756.73, 97.7878, 97.6556, 97.2746, 98.1929, 98.6588, 98.4427, 98.5733, 98.6052, 98.5754, 98.6159, 98.259, 98.451, 98.5248, 98.6846, 98.7456, 98.6852, 98.5646, 98.561, 97.9128, 97.671, 98.0784, 98.408, 98.5, 98.7475, 99.5268, 98.0204, 98.1988, 98.5257, 100.268, 97.8566
1756.67, 97.7835, 97.655, 97.2813, 98.1678, 98.6362, 98.4622, 98.5797, 98.6006, 98.5782, 98.638, 98.2578, 98.462, 98.5182, 98.6888, 98.7225, 98.6408, 98.567, 98.577, 97.9005, 97.6909, 98.1078, 98.3945, 98.4827, 98.7528, 99.5119, 98.0403, 98.1993, 98.5182, 100.247, 97.8588
1756.61, 97.782, 97.6601, 97.286, 98.1406, 98.6213, 98.4822, 98.5806, 98.5944, 98.5878, 98.6613, 98.257, 98.472, 98.5134, 98.6933, 98.7025, 98.6014, 98.566, 98.5932, 97.8861, 97.7097, 98.131, 98.3784, 98.4593, 98.7612, 99.5022, 98.0684, 98.1982, 98.5062, 100.233, 97.8598
1756.55, 97.7833, 97.6707, 97.289, 98.1126, 98.6149, 98.4997, 98.5755, 98.5872, 98.6031, 98.6846, 98.2556, 98.4786, 98.5112, 98.6978, 98.688, 98.569, 98.5604, 98.6087, 97.8736, 97.7267, 98.1458, 98.3639, 98.4342, 98.7723, 99.5012, 98.1029, 98.1963, 98.4923, 100.225, 97.8579
1756.49, 97.786, 97.6858, 97.2917, 98.0851, 98.6158, 98.512, 98.5656, 98.5797, 98.6224, 98.7067, 98.2523, 98.4799, 98.5121, 98.7024, 98.6801, 98.5449, 98.5495, 98.623, 97.866, 97.7403, 98.1525, 98.3538, 98.4117, 98.7843, 99.5102, 98.1406, 98.1941, 98.4786, 100.22, 97.8523
1756.43, 97.7884, 97.7042, 97.2967, 98.0596, 98.6212, 98.5174, 98.5525, 98.5726, 98.6436, 98.7262, 98.2467, 98.4744, 98.5158, 98.7079, 98.6784, 98.5303, 98.5338, 98.6363, 97.8647, 97.7487, 98.1529, 98.3492, 98.395, 98.795, 99.5278, 98.177, 98.1916, 98.4664, 100.215, 97.8433
1756.37, 97.7884, 97.7243, 97.3071, 98.0372, 98.6274, 98.5161, 98.5383, 98.5666, 98.6651, 98.7415, 98.2392, 98.4623, 98.5211, 98.7151, 98.6816, 98.5248, 98.514, 98.6483, 97.8687, 97.7509, 98.1498, 98.3491, 98.3856, 98.8017, 99.5506, 98.2078, 98.1883, 98.4565, 100.208, 97.8325
1756.31, 97.7849, 97.7452, 97.3252, 98.0184, 98.6307, 98.5097, 98.5246, 98.5618, 98.6862, 98.7505, 98.2308, 98.445, 98.5258, 98.7249, 98.6882, 98.5264, 98.4911, 98.6589, 97.8754, 97.7471, 98.1456, 98.3513, 98.3835, 98.8017, 99.5743, 98.2295, 98.1836, 98.4487, 100.197, 97.8228
1756.24, 97.7779, 97.7666, 97.3522, 98.0037, 98.6288, 98.501, 98.5125, 98.558, 98.7069, 98.7518, 98.2232, 98.4249, 98.5272, 98.7374, 98.6968, 98.5313, 98.4662, 98.6676, 97.8811, 97.7393, 98.1417, 98.3535, 98.3873, 98.7931, 99.5951, 98.2402, 98.1767, 98.4428, 100.184, 97.8175
1756.18, 97.7688, 97.7894, 97.3873, 97.9933, 98.621, 98.4927, 98.5027, 98.555, 98.7282, 98.7441, 98.2179, 98.4047, 98.5231, 98.7521, 98.7069, 98.5348, 98.4406, 98.6731, 97.8827, 97.7302, 98.1379, 98.3536, 98.3953, 98.7747, 99.6114, 98.2401, 98.167, 98.4389, 100.17, 97.8193
1756.12, 97.7599, 97.8146, 97.4276, 97.9879, 98.6086, 98.4864, 98.4949, 98.5525, 98.7506, 98.7276, 98.2161, 98.3867, 98.5125, 98.7674, 98.718, 98.5319, 98.4159, 98.6744, 97.8784, 97.7229, 98.1326, 98.3508, 98.406, 98.7469, 99.6237, 98.2308, 98.154, 98.4369, 100.159, 97.8298
1756.06, 97.7539, 97.8431, 97.4686, 97.9885, 98.5943, 98.4818, 98.4887, 98.5505, 98.7736, 98.7034, 98.2185, 98.3718, 98.4958, 98.7809, 98.7301, 98.52, 98.3943, 98.6703, 97.8692, 97.7194, 98.1238, 98.3455, 98.4185, 98.7111, 99.6346, 98.2153, 98.1378, 98.4369, 100.153, 97.8488
