Wavenumber, 9701_3-1.SPA, 9702_3-1.SPA, 9703_3-1.SPA, 971051_3-1.SPA, 971052_3-1.SPA, 971053_3-1.SPA, 97151_3-1.SPA, 97152_3-1.SPA, 97153_3-1.SPA, 97301_3-1.SPA, 97302_3-1.SPA, 97303_3-1.SPA, 97451_3-1.SPA, 97452_3-1.SPA, 97453_3-1.SPA, 97601_3-1.SPA, 97602_3-1.SPA, 97603_3-1.SPA, 97751_3-1.SPA, 97752_3-1.SPA, 97753_3-1.SPA, 97901_3-1.SPA, 97902_3-1.SPA, 97903_3-1.SPA
1771.43, 90.1523, 89.5977, 89.0837, 97.3989, 97.6199, 97.2967, 91.4264, 92.341, 91.3092, 93.562, 93.8955, 93.4681, 94.985, 95.1329, 94.8539, 95.8783, 95.6673, 96.3688, 96.4086, 96.8828, 96.8709, 96.7881, 97.2746, 97.1305
1771.37, 90.0633, 89.4978, 88.9888, 97.4057, 97.6017, 97.2695, 91.3591, 92.2541, 91.2287, 93.5005, 93.8524, 93.3998, 94.9593, 95.0835, 94.8195, 95.8472, 95.6453, 96.3427, 96.3725, 96.8706, 96.8597, 96.7617, 97.249, 97.0887
1771.31, 89.9757, 89.3995, 88.8964, 97.4028, 97.5808, 97.2429, 91.2911, 92.1671, 91.1526, 93.4422, 93.8151, 93.3344, 94.937, 95.0334, 94.7844, 95.8198, 95.6279, 96.3178, 96.3397, 96.8552, 96.8465, 96.7433, 97.226, 97.044
1771.25, 89.888, 89.3027, 88.8046, 97.3879, 97.5554, 97.218, 91.2228, 92.0804, 91.081, 93.3895, 93.7834, 93.2727, 94.9166, 94.9831, 94.748, 95.7948, 95.6161, 96.2952, 96.3126, 96.8359, 96.8308, 96.734, 97.208, 96.9985
1771.19, 89.7992, 89.2079, 88.7113, 97.3613, 97.5247, 97.1965, 91.1554, 91.9949, 91.0126, 93.3445, 93.7562, 93.2154, 94.8965, 94.9328, 94.7102, 95.7708, 95.6098, 96.2756, 96.2925, 96.8136, 96.8119, 96.7327, 97.1971, 96.9547
1771.13, 89.709, 89.1158, 88.6145, 97.3252, 97.4891, 97.1791, 91.0905, 91.9122, 90.9455, 93.3083, 93.7316, 93.1623, 94.8746, 94.8829, 94.6716, 95.7464, 95.6075, 96.2592, 96.2785, 96.7898, 96.789, 96.7368, 97.1947, 96.9151
1771.07, 89.6182, 89.0262, 88.5125, 97.2833, 97.4495, 97.1657, 91.0294, 91.8334, 90.877, 93.2808, 93.7072, 93.1127, 94.849, 94.8333, 94.6333, 95.7211, 95.6075, 96.2448, 96.2685, 96.7662, 96.761, 96.7425, 97.2008, 96.8822
1771.01, 89.5281, 88.9383, 88.4049, 97.2402, 97.4074, 97.1552, 90.9731, 91.7592, 90.805, 93.26, 93.6802, 93.0655, 94.818, 94.7843, 94.5959, 95.695, 95.6076, 96.2304, 96.26, 96.7439, 96.7278, 96.746, 97.2143, 96.8575
1770.95, 89.4406, 88.8503, 88.2925, 97.1999, 97.3638, 97.1454, 90.9217, 91.6891, 90.7286, 93.2429, 93.6482, 93.0194, 94.7806, 94.7362, 94.5598, 95.6688, 95.606, 96.213, 96.2508, 96.7231, 96.6899, 96.7447, 97.2328, 96.8412
1770.89, 89.3568, 88.7603, 88.1778, 97.1651, 97.3201, 97.1343, 90.8744, 91.6219, 90.6483, 93.2255, 93.6093, 92.9732, 94.7364, 94.6893, 94.5244, 95.6433, 95.6016, 96.1901, 96.2394, 96.7037, 96.6489, 96.7381, 97.2525, 96.8322
1770.83, 89.2773, 88.6672, 88.0639, 97.1372, 97.2771, 97.1209, 90.8293, 91.556, 90.5661, 93.2041, 93.5632, 92.9259, 94.6864, 94.6439, 94.4889, 95.6194, 95.5935, 96.1601, 96.225, 96.6851, 96.6073, 96.7273, 97.2696, 96.8286
1770.77, 89.2012, 88.5711, 87.9542, 97.116, 97.2362, 97.1053, 90.7839, 91.4902, 90.485, 93.1756, 93.5106, 92.8771, 94.632, 94.6002, 94.4519, 95.5971, 95.5814, 96.1232, 96.2075, 96.6673, 96.5676, 96.7152, 97.28, 96.8279
1770.71, 89.1269, 88.4735, 87.8512, 97.1002, 97.1994, 97.0892, 90.7354, 91.4244, 90.4084, 93.138, 93.4541, 92.8269, 94.576, 94.558, 94.4126, 95.5763, 95.5651, 96.0819, 96.1871, 96.6505, 96.5319, 96.7052, 97.2808, 96.8279
1770.65, 89.0526, 88.3772, 87.7563, 97.0877, 97.1688, 97.0751, 90.6814, 91.3593, 90.339, 93.091, 93.3968, 92.776, 94.5212, 94.5172, 94.3704, 95.5561, 95.5449, 96.0401, 96.1639, 96.6356, 96.5013, 96.6997, 97.2703, 96.8274
1770.59, 88.9768, 88.2844, 87.6692, 97.0766, 97.1466, 97.0658, 90.6206, 91.2966, 90.2783, 93.0357, 93.3421, 92.7256, 94.471, 94.4778, 94.3262, 95.5354, 95.5214, 96.0026, 96.1383, 96.6235, 96.4759, 96.7, 97.2487, 96.8259
1770.53, 88.8985, 88.197, 87.5887, 97.0653, 97.1342, 97.0627, 90.5534, 91.2379, 90.2263, 92.9738, 93.2929, 92.6771, 94.428, 94.4398, 94.2812, 95.5133, 95.4958, 95.9733, 96.1107, 96.6151, 96.4549, 96.7055, 97.218, 96.8243
1770.47, 88.818, 88.1147, 87.5132, 97.0526, 97.1321, 97.066, 90.4819, 91.1839, 90.1823, 92.9078, 93.2506, 92.6318, 94.3939, 94.4039, 94.2376, 95.4888, 95.4698, 95.9547, 96.0812, 96.6103, 96.4372, 96.7144, 97.1815, 96.8235
